from_source_id,from_anchor,to_source_id,to_anchor,note
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-01-front,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-03-narrative,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-04-loops,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-05-systems,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-06-world,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-07-ui,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-08-artaudio,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-09-tech,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-10-production,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-11-qa,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-12-risks,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-13-appendices,markdown_link
DIPLOMAGIC_GDD_Combined,table-of-contents,DIPLOMAGIC_GDD_Combined,sec-14-qa,markdown_link
Adversary & NPC Systems — Dashboard,archived-2025-08-17,Statblocks & Enemies Department — Charter (ARCHIVED 2025-08-17,,markdown_link
Adversary & NPC Systems — Dashboard,archived-2025-08-17,Enemy Systems Department — notes (ARCHIVED 2025-08-17,,markdown_link
MASTER_Manifest,master-manifest,SEC-01-FRONT%20-%20Front%20Matter%20&%20Executive%20Summary,,markdown_link
MASTER_Manifest,master-manifest,SEC-03-NARRATIVE%20-%20Narrative,,markdown_link
MASTER_Manifest,master-manifest,SEC-04-LOOPS%20-%20Core%20Gameplay%20Loops,,markdown_link
MASTER_Manifest,master-manifest,SEC-05-SYSTEMS%20-%20Systems%20&%20Mechanics,,markdown_link
MASTER_Manifest,master-manifest,"SEC-06-WORLD%20-%20World,%20Levels,%20&%20Content",,markdown_link
MASTER_Manifest,master-manifest,"SEC-07-UI%20-%20UI-UX%20(Devices,%20HUD,%20Menus",,markdown_link
MASTER_Manifest,master-manifest,SEC-08-ARTAUDIO%20-%20Art%20Direction%20&%20Audio,,markdown_link
MASTER_Manifest,master-manifest,SEC-09-TECH%20-%20Technology%20&%20Performance%20Targets,,markdown_link
MASTER_Manifest,master-manifest,SEC-10-PRODUCTION%20-%20Production%20Plan%20&%20Milestones,,markdown_link
MASTER_Manifest,master-manifest,"SEC-11-QA%20-%20QA,%20Localization,%20Accessibility",,markdown_link
MASTER_Manifest,master-manifest,"SEC-12-RISKS%20-%20Risks,%20Legal,%20Ratings",,markdown_link
MASTER_Manifest,master-manifest,SEC-13-APPENDICES%20-%20Appendices,,markdown_link
MASTER_Manifest,master-manifest,SEC-14-QA%20-%20Quality%20Assurance%20Test%20Plan,,markdown_link
MASTER_Manifest,master-manifest,TDD-EVIDENCE+FIELDPAD%20-%20Technical%20Design%20Document,,markdown_link
ROOT_README_ToC_CH5-CH6_Insert,readme-new-bullets,SEC-03,,markdown_link
ROOT_README_ToC_CH5-CH6_Insert,readme-new-bullets,SEC-03,,markdown_link
ROOT_README_ToC_CH5-CH6_Insert,readme-new-bullets,SEC-06,,markdown_link
ROOT_README_ToC_CH5-CH6_Insert,readme-new-bullets,SEC-05,,markdown_link
ROOT_README_ToC_CH5-CH6_Insert,readme-new-bullets,SEC-07,,markdown_link
ROOT_Readme_ToC_CH7_Insert,readme-new-bullets,SEC-03,,markdown_link
ROOT_Readme_ToC_CH7_Insert,readme-new-bullets,SEC-05,,markdown_link
ROOT_Readme_ToC_CH7_Insert,readme-new-bullets,SEC-06,,markdown_link
ROOT_Readme_ToC_CH7_Insert,readme-new-bullets,SEC-07,,markdown_link
